book,chapter,verse,text,lemmatized
Постање,1,31,"Тада погледа Бог све што је створио, и гле, све добро беше. И би вече и би јутро, и то је био шести дан.","тада погледа бог све што је створио , и гле , све добро беше . и би вече и би јутро , и то је био шести дан ."
Постање,2,1,Тако се довршише небеса и земља и сва војска њихова.,тако се довршише небеса и земља и сва војска њихова .
Постање,2,2,"До седмога дана сврши Бог дело своје, које учини; и почину у седми дан од свих дела својих која учини.","до седмога дана сврши бог дело своје , које учини ; и почину у седми дан од свих дела својих која учини ."
Постање,2,3,"Бог благослови седми дан и посвети га, јер у тај дан почину од свих дела својих, која стварањем учини.","бог благослови седми дан и посвети га , јер у тај дан почину од свих дела својих , која стварањем учини ."
Постање,2,4,"То је постање неба и земље, кад беху створени.","то је постање неба и земље , кад беху створени ."
Постање,2,5,Кад Господ,кад господ
Постање,2,6,Али се подизаше пара са земље која натапаше сву земљу.,али се подизаше пара са земље која натапаше сву земљу .
Постање,2,7,"Господ, Бог, створи човека од праха земаљскога и дуну му у нос дах живота; и човек поста живо биће.","господ , бог , створи човека од праха земаљскога и дуну му у нос дах живота ; и човек поста живо биће ."
Постање,2,8,"Господ, Бог, насади затим врт у Едему према истоку, и онде намести човека кога створи.","господ , бог , насади затим врт у едему према истоку , и онде намести човека кога створи ."
Постање,2,9,"Господ, Бог, учини те из земље никоше свакојака дрвета лепа за гледање и добра за јело, и дрво живота усред врта, и дрво познања добра и зла.","господ , бог , учини те из земље никоше свакојака дрвета лепа за гледање и добра за јело , и дрво живота усред врта , и дрво познања добра и зла ."
Постање,2,10,"Из Едема извираше вода и натапаше врт, а оданде се делијаше у четири реке.","из едема извираше вода и натапаше врт , а оданде се делијаше у четири реке ."
Постање,2,11,"Једној је, име Фисон и она тече око целе земље Евилске, у којој има злата.","једној је , име фисон и она тече око целе земље евилске , у којој има злата ."
Постање,2,12,Злато је те земље чисто. Ту има и бдела и драгога камена оникса.,злато је те земље чисто . ту има и бдела и драгога камена оникса .
Постање,2,13,Другој реци је име Геон. Она тече око целе земље Хуске.,другој реци је име геон . она тече око целе земље хуске .
Постање,2,14,Трећој је реци име Хидекел. Она тече источно од Асирије. Четврта је река Еуфрат.,трећој је реци име хидекел . она тече источно од асирије . четврта је река еуфрат .
Постање,2,15,"Господ, Бог, узе човека и намести га у врту Едемском да га ради и да га чува.","господ , бог , узе човека и намести га у врту едемском да га ради и да га чува ."
Постање,2,16,"Господ, Бог, даде човеку ову заповест: Једи слободно са свакога дрвета у врту;","господ , бог , даде човеку ову заповест : једи слободно са свакога дрвета у врту ;"
Постање,2,17,"али с дрвета познања добра и зла не једи, јер у који дан окусиш с њега умрећеш.","али с дрвета познања добра и зла не једи , јер у који дан окусиш с њега умрећеш ."
Постање,2,18,"Господ, Бог, рече: Није добро да је човек сам. Начинићу му помоћника њему слична.","господ , бог , рече : није добро да је човек сам . начинићу му помоћника њему слична ."
Постање,2,19,"Господ, Бог, створи од земље све животиње пољске и све птице небеске, и доведе их к човеку, да види како ће коју назвати, па да свако живо створење носи име које му буде човек дао.","господ , бог , створи од земље све животиње пољске и све птице небеске , и доведе их к човеку , да види како ће коју назвати , па да свако живо створење носи име које му буде човек дао ."
Постање,2,20,И човек даде име свакој животињи и свакој птици небеској и свакој звери пољској; али се за човека не нађе помоћник који би био њему сличан.,и човек даде име свакој животињи и свакој птици небеској и свакој звери пољској ; али се за човека не нађе помоћник који би био њему сличан .
Постање,2,21,"Господ, Бог, пусти тад тврд сан на човека, који заспа; узе му једно ребро и приљуби месо на месту његовом.","господ , бог , пусти тад тврд сан на човека , који заспа ; узе му једно ребро и приљуби месо на месту његовом ."
Постање,2,22,"Господ, Бог, створи жену од ребра које узе човеку, и доведе је к човеку.","господ , бог , створи жену од ребра које узе човеку , и доведе је к човеку ."
Постање,2,23,"И човек рече: Ево оне која је кост од мојих кости и пут од моје пути. Нека јој буде име жена човекова, јер је узета од човека.","и човек рече : ево оне која је кост од мојих кости и пут од моје пути . нека јој буде име жена човекова , јер је узета од човека ."
Постање,2,24,За то ће човек оставити оца свога и матер своју и прионуће уз жену своју и биће њих двоје једна пут.,за то ће човек оставити оца свога и матер своју и прионуће уз жену своју и биће њих двоје једна пут .
Постање,2,25,"Човек и жена његова беху обоје голи, и не беше их срамота.","човек и жена његова беху обоје голи , и не беше их срамота ."
Постање,3,1,"Змија беше најлукавија од свих животиња пољских које створи Господ, Бог. И она рече жени: Је ли баш казао Бог: Нећете јести са свакога дрвета у врту?","змија беше најлукавија од свих животиња пољских које створи господ , бог . и она рече жени : је ли баш казао бог : нећете јести са свакога дрвета у врту ?"
Постање,3,2,Жена одговори змији: Ми једемо плод са свих дрвета у врту;,жена одговори змији : ми једемо плод са свих дрвета у врту ;
Постање,3,3,"само за плод с дрвета усред врта казао је Бог: Не једите га и не дирајте у њ, да не умрете.","само за плод с дрвета усред врта казао је бог : не једите га и не дирајте у њ , да не умрете ."
Постање,3,4,Тада змија рече жени: Нећете ви умрети;,тада змија рече жени : нећете ви умрети ;
Постање,3,5,"него Бог зна да ће вам се у онај дан у који окусите с њега отворити очи, па ћете постати као богови, познајући добро и зло.","него бог зна да ће вам се у онај дан у који окусите с њега отворити очи , па ћете постати као богови , познајући добро и зло ."
Постање,3,6,"Жена виде да је плод на дрвету добар за јело и леп на поглед, и да је драгоцен за отварање разума, и она убра плода с њега и окуси, па даде мужу своме, који је код ње био, те и он окуси.","жена виде да је плод на дрвету добар за јело и леп на поглед , и да је драгоцен за отварање разума , и она убра плода с њега и окуси , па даде мужу своме , који је код ње био , те и он окуси ."
Постање,3,7,"Њима се тад отворише очи, и они познаше да су голи, те сплетоше лишћа смокова и начинише себи појасе.","њима се тад отворише очи , и они познаше да су голи , те сплетоше лишћа смокова и начинише себи појасе ."
Постање,3,8,"Тад чуше глас Господа, Бога, који пред вече иђаше по врту, и човек и жена његова сакрише се од лица Господа, Бога, у дрвеће у врту.","тад чуше глас господа , бога , који пред вече иђаше по врту , и човек и жена његова сакрише се од лица господа , бога , у дрвеће у врту ."
Постање,3,9,"Али Господ, Бог, зазва човека и рече му: Где си ти?","али господ , бог , зазва човека и рече му : где си ти ?"
Постање,3,10,"Човек одговори: Чуо сам глас твој у врту, и уплаших се, јер сам го, па се сакрих.","човек одговори : чуо сам глас твој у врту , и уплаших се , јер сам го , па се сакрих ."
Постање,3,11,"А Господ, Бог, рече; Ко ти каза да си го? Да ниси јео с оног дрвета, с ког сам ти забранио да једеш?","а господ , бог , рече ; ко ти каза да си го ? да ниси јео с оног дрвета , с ког сам ти забранио да једеш ?"
Постање,3,12,"Човек одговори: Жена коју си поред мене поставио даде ми с дрвета, те једох.","човек одговори : жена коју си поред мене поставио даде ми с дрвета , те једох ."
Постање,3,13,"Господ, Бог, рече жени: Зашто си то учинила? — А жена одговори: Змија ме заведе, те поједох.","господ , бог , рече жени : зашто си то учинила ? — а жена одговори : змија ме заведе , те поједох ."
Постање,3,14,"Рече Господ, Бог, змији: Кад си то учинила, бићеш проклета пред сваком животињом и пред свим зверима пољским; на трбуху ћеш се вући и прах ћеш свих дана века свога јести.","рече господ , бог , змији : кад си то учинила , бићеш проклета пред сваком животињом и пред свим зверима пољским ; на трбуху ћеш се вући и прах ћеш свих дана века свога јести ."
Постање,3,15,"Метнућу непријатељство између тебе и жене, и између потомства твога и потомства њезина, и оно ће ти главу згазити, и ти ћеш га у пету уједати.","метнућу непријатељство између тебе и жене , и између потомства твога и потомства њезина , и оно ће ти главу згазити , и ти ћеш га у пету уједати ."
Постање,3,16,"А жени рече: Теби ћу отежати муке трудноћа твојих; у боловима ћеш децу рађати а жеље ће те твоје вући к мужу своме, али ће он над тобом власт имати.","а жени рече : теби ћу отежати муке трудноћа твојих ; у боловима ћеш децу рађати а жеље ће те твоје вући к мужу своме , али ће он над тобом власт имати ."
Постање,3,17,"И рече човеку: Што си послушао глас жене своје и окусио с дрвета за које сам ти дао ову заповест: Не једи с њега!, земља ће бити проклета с тебе. С муком ћеш се од ње хранити свих дана века свога;","и рече човеку : што си послушао глас жене своје и окусио с дрвета за које сам ти дао ову заповест : не једи с њега ! , земља ће бити проклета с тебе . с муком ћеш се од ње хранити свих дана века свога ;"
Постање,3,18,"трње и коров ће ти рађати, и ти ћеш јести зеље пољско.","трње и коров ће ти рађати , и ти ћеш јести зеље пољско ."
Постање,3,19,"Са знојем лица свога најешћеш се хлеба, докле се не вратиш у земљу од које си узет; јер си ти прах и у прах ћеш се вратити.","са знојем лица свога најешћеш се хлеба , докле се не вратиш у земљу од које си узет ; јер си ти прах и у прах ћеш се вратити ."
Постање,3,20,Адам даде својој жени име Ева,адам даде својој жени име ева
Постање,3,21,"Господ, Бог, начини Адаму и жени његовој хаљине од коже и обуче их у њих.","господ , бог , начини адаму и жени његовој хаљине од коже и обуче их у њих ."
Постање,3,22,"Господ, Бог, рече: Ето човек поста као један од нас с познања добра и зла; али сад да не пружи руке своје и убере и с дрвета живота и окуси, па да до века живи.","господ , бог , рече : ето човек поста као један од нас с познања добра и зла ; али сад да не пружи руке своје и убере и с дрвета живота и окуси , па да до века живи ."
Постање,3,23,"И Господ, Бог, истера га из врта Едемскога да ради земљу од које је узет.","и господ , бог , истера га из врта едемскога да ради земљу од које је узет ."
Постање,3,24,"Тако он истера Адама, и на источни улаз у врт Едемски постави херувиме који витлају пламеним мачевима да бране пут ка дрвету живота.","тако он истера адама , и на источни улаз у врт едемски постави херувиме који витлају пламеним мачевима да бране пут ка дрвету живота ."
Постање,4,2,Она роди још и брата његова Авеља. Авељ поста пастир а Кајин ратар.,она роди још и брата његова авеља . авељ поста пастир а кајин ратар .
Постање,4,3,После неког времена Кајин принесе Господу принос од рода земаљскога.,после неког времена кајин принесе господу принос од рода земаљскога .
Постање,4,4,"И Авељ принесе од првина стада свога и од претилине њихове. Господ милостиво погледа на Авеља и на његов принос,","и авељ принесе од првина стада свога и од претилине њихове . господ милостиво погледа на авеља и на његов принос ,"
Постање,4,5,а на Кајина и на његов принос не погледа милостиво. Кајин се много расрди и лице му се намршти.,а на кајина и на његов принос не погледа милостиво . кајин се много расрди и лице му се намршти .
Постање,4,6,Господ рече Кајину: Што се срдиш и зашто ти је лице намрштено?,господ рече кајину : што се срдиш и зашто ти је лице намрштено ?
Постање,4,7,"Ако добро чиниш исправићеш лице своје, али ако зло чиниш, то грех са твог прага вреба и жудња је његова на тебе окренута; али ти требаш да га савладаш.","ако добро чиниш исправићеш лице своје , али ако зло чиниш , то грех са твог прага вреба и жудња је његова на тебе окренута ; али ти требаш да га савладаш ."
Постање,4,8,"Кајин проговори Авељу, брату своме; али кад беху у пољу Кајин скочи на Авеља, брата свога, и уби га.","кајин проговори авељу , брату своме ; али кад беху у пољу кајин скочи на авеља , брата свога , и уби га ."
Постање,4,9,Господ рече Кајину: Где је брат твој Авељ? Он одговори: Не знам. Зар сам ја чувар брата свога?,господ рече кајину : где је брат твој авељ ? он одговори : не знам . зар сам ја чувар брата свога ?
Постање,4,10,А Бог рече: Шта учини! Глас крви брата твога вапије са земље до мене.,а бог рече : шта учини ! глас крви брата твога вапије са земље до мене .
Постање,4,11,Сад ћеш бити проклет од земље која је отворила уста своја да из твоје руке прими крв брата твога.,сад ћеш бити проклет од земље која је отворила уста своја да из твоје руке прими крв брата твога .
Постање,4,12,Кад земљу обрадиш неће ти она више богатства своја давати. Бићеш бегунац и потукач на земљи.,кад земљу обрадиш неће ти она више богатства своја давати . бићеш бегунац и потукач на земљи .
Постање,4,13,Кајин рече Господу: Казна је моја сувише тешка да бих је могао издржати.,кајин рече господу : казна је моја сувише тешка да бих је могао издржати .
Постање,4,14,"Гле, тераш ме данас из ове земље; бићу сакривен далеко од лица твога, бићу скитач и потукач по земљи, и који ме год удеси убиће ме.","гле , тераш ме данас из ове земље ; бићу сакривен далеко од лица твога , бићу скитач и потукач по земљи , и који ме год удеси убиће ме ."
Постање,4,15,"Рече њему Господ: Ако ко убије Кајина, седам ће пута то окајати. И Господ начини знак на Кајину, да га не убије ко га удеси.","рече њему господ : ако ко убије кајина , седам ће пута то окајати . и господ начини знак на кајину , да га не убије ко га удеси ."
Постање,4,16,Кајин се удаљи од лица Господњега и насели се у земљи Наидској на истоку од Едема.,кајин се удаљи од лица господњега и насели се у земљи наидској на истоку од едема .
Постање,4,17,"Кајин позна жену своју, и она затрудне и роди Еноха. Он сазида затим град и прозва га Енох, по имену сина свога.","кајин позна жену своју , и она затрудне и роди еноха . он сазида затим град и прозва га енох , по имену сина свога ."
Постање,4,18,"Енох роди Гаидада; Гаидад роди Малелеила; Малелеил роди Матусала, а Матусал роди Ламеха.","енох роди гаидада ; гаидад роди малелеила ; малелеил роди матусала , а матусал роди ламеха ."
Постање,4,19,Лемех узе две жене: једној беше име Ада а другој Села. 20 Ада роди Јовила. Од њега се народише они који живе под шаторима и стоку пасу.,лемех узе две жене : једној беше име ада а другој села . 20 ада роди јовила . од њега се народише они који живе под шаторима и стоку пасу .
Постање,4,21,Брату његовом беше име Јувал. Од њега се народише они који ударају у харфе и свирају у свирале.,брату његовом беше име јувал . од њега се народише они који ударају у харфе и свирају у свирале .
Постање,4,22,"Села роди Товела, ковача свих бакрених и гвоздених справа. Сестра Товелова беше Ноема.","села роди товела , ковача свих бакрених и гвоздених справа . сестра товелова беше ноема ."
Постање,4,23,"Ламех рече женама својим: Адо и Село, глас мој чујте! Послушајте речи моје, жене Ламехове! Јест, убих човека ја за рану своју, и младића за масницу своју.","ламех рече женама својим : адо и село , глас мој чујте ! послушајте речи моје , жене ламехове ! јест , убих човека ја за рану своју , и младића за масницу своју ."
Постање,4,24,"Ако се Кајин освети седам пута, Ламех ће седамдесет и седам пута.","ако се кајин освети седам пута , ламех ће седамдесет и седам пута ."
Постање,4,25,"Адам позна опет жену своју, и она роди сина и надену му име Сит, ""јер ми"" — рече, — ""Бог даде другог сина за Авеља кога уби Кајин"".","адам позна опет жену своју , и она роди сина и надену му име сит , "" јер ми "" — рече , — "" бог даде другог сина за авеља кога уби кајин "" ."
Постање,4,26,"И Ситу се роди син, коме он надену име Енос. Тада се поче призивати име Господње.","и ситу се роди син , коме он надену име енос . тада се поче призивати име господње ."
Постање,5,1,"Ово је књига потомства Адамова. Кад Бог створи човека, створи га по обличју","ово је књига потомства адамова . кад бог створи човека , створи га по обличју"
Постање,5,2,"Он створи човека и жену, и благослови их, и кад беху створени назва их именом човека.","он створи човека и жену , и благослови их , и кад беху створени назва их именом човека ."
Постање,5,3,Кад је Адам имао сто и тридесет година роди сина себи слична и надену му име Сит.,кад је адам имао сто и тридесет година роди сина себи слична и надену му име сит .
Постање,5,4,Дани Адамови после Ситова рођења беху осам стотина година; и он роди синове и кћери.,дани адамови после ситова рођења беху осам стотина година ; и он роди синове и кћери .
Постање,5,5,Сви дани које Адам преживи беху девет стотина и тридесет година. После тога он умре.,сви дани које адам преживи беху девет стотина и тридесет година . после тога он умре .
Постање,5,6,Сит у сто и петој години свога живота роди Еноса.,сит у сто и петој години свога живота роди еноса .
Постање,5,7,"После Еносовог рођења поживи Сит осам стотина и седам година, те и он роди синове и кћери.","после еносовог рођења поживи сит осам стотина и седам година , те и он роди синове и кћери ."
Постање,5,8,Сви дани Ситови беху девет стотина и,сви дани ситови беху девет стотина и
Постање,5,9,Енос у деведесетој години свог живота роди Кајинана.,енос у деведесетој години свог живота роди кајинана .
Постање,5,10,После Кајинановог рођења поживе,после кајинановог рођења поживе
Постање,5,11,Сви дани Еносови беху девет,сви дани еносови беху девет
Постање,5,12,Кајинан у седамдесетој години свог живота роди Малелеила.,кајинан у седамдесетој години свог живота роди малелеила .
Постање,5,13,"После Малелеиловог рођења,","после малелеиловог рођења ,"
Постање,5,14,Сви дани Кајинанови беху девет стотина и десет година. Затим он умре.,сви дани кајинанови беху девет стотина и десет година . затим он умре .
Постање,5,15,Малелеило у шездесетпетој години свог живота роди Јареда.,малелеило у шездесетпетој години свог живота роди јареда .
Постање,5,16,После Јаредовог рођења,после јаредовог рођења
Постање,5,17,Сви дани Малелеилови беху осам стотина и деведесет и пет година. Затим он умре.,сви дани малелеилови беху осам стотина и деведесет и пет година . затим он умре .
Постање,5,18,Јаред у сто шездесет и другој години свог живота роди Еноха.,јаред у сто шездесет и другој години свог живота роди еноха .
Постање,5,19,"После Еноховог рођења поживе Јаред осам стотина година, и роди синове и кћери.","после еноховог рођења поживе јаред осам стотина година , и роди синове и кћери ."
Постање,5,20,Сви дани Јаредови беху девет стотина,сви дани јаредови беху девет стотина
Постање,5,21,Енох у шездесет и петој години свога живота роди Матусала.,енох у шездесет и петој години свога живота роди матусала .
Постање,5,22,После Матусаловог рођења,после матусаловог рођења
Постање,5,23,Сви дани Енохови беху триста и шездесет и пет година.,сви дани енохови беху триста и шездесет и пет година .
Постање,5,24,"Енох ходаше увек по вољи Божјој, па га нестаде, јер га Бог узе.","енох ходаше увек по вољи божјој , па га нестаде , јер га бог узе ."
Постање,5,25,"Матусал у сто и осамдесет и седмој години свога живота роди Ламеха. После Ламеховог рођења поживе Матусал седам стотина и осамдесет и две године, и роди синове и кћери.","матусал у сто и осамдесет и седмој години свога живота роди ламеха . после ламеховог рођења поживе матусал седам стотина и осамдесет и две године , и роди синове и кћери ."
