book,chapter,verse,text
Матеј,3,16,"И крстивши се Исус изиђе одмах из воде; и гле, отворише му се небеса, и видје Духа Божијега гдје силази као голуб и долази на њега."
Матеј,3,17,"И гле, глас са небеса који говори: Ово је Син мој љубљени који је по мојој вољи."
Матеј,4,1,Тада Исуса одведе Дух у пустињу да га ђаво куша.
Матеј,4,2,"И постивши дана четрдесет и ноћи четрдесет, напосљетку огладње."
Матеј,4,3,"И приступи к њему кушач и рече: Ако си Син Божији, реци да камење ово постану хљебови."
Матеј,4,4,"А он одговори и рече: Писано је: Не живи човјек о самом хљебу, но о свакој ријечи која излази из уста Божијих."
Матеј,4,5,"Тада га ђаво одведе у Свети град и постави га на крило храма,"
Матеј,4,6,"Па му рече: Ако си Син Божији, скочи доље, јер је писано: Анђелима својим заповиједиће за тебе, и узеће те на руке, да како не запнеш за камен ногом својом."
Матеј,4,7,А Исус му рече: И ово је написано: Немој кушати Господа Бога својега.
Матеј,4,8,"Опет га узе ђаво и одведе на гору врло високу, и показа му сва царства овога свијета и славу њихову,"
Матеј,4,9,И рече му: Све ово даћу теби ако паднеш и поклониш ми се.
Матеј,4,10,"Тада му Исус рече: Иди од мене, Сатано, јер је написано: Господу Богу своме клањај се и њему јединоме служи!"
Матеј,4,11,"Тада га ђаво остави, и гле, анђели приступише и служаху му."
Матеј,4,12,"А када чу Исус да је Јован предан, отиде у Галилеју."
Матеј,4,13,"И оставивши Назарет, дође и настани се у Капернауму приморскоме, у крајевима Завулоновим и Нефталимовим,"
Матеј,4,14,Да се испуни што је рекао пророк Исаија говорећи:
Матеј,4,15,"Земља Завулонова и земља Нефталимова, на путу к мору с оне стране Јордана, Галилеја незнабожачка;"
Матеј,4,16,"Народ који сједи у тами видје свјетлост велику, и онима који сједе у области и сјени смрти, свјетлост засија."
Матеј,4,17,"Од тада поче Исус проповиједати и говорити: Покајте се, јер се приближило Царство небеско."
Матеј,4,18,"А идући покрај мора Галилејског видје два брата. Симона, званога Петар, и Андреја, брата његова, гдје бацају мрежу у море, јер бијаху рибари."
Матеј,4,19,И рече им: Хајдете за мном и учинићу вас ловцима људи.
Матеј,4,20,А они одмах оставише мреже и пођоше за њим.
Матеј,4,21,"И отишавши одатле видје друга два брата, Јакова Зеведејева и Јована брата његова, у лађи са Зеведејем, оцем њиховим, гдје крпе мреже своје, и позва их."
Матеј,4,22,А они одмах оставише лађу и оца својега и пођоше за њим.
Матеј,4,23,"И прохођаше Исус по свој Галилеји учећи по синагогама њиховим, и проповиједајући јеванђеље о Царству, и исцјељујући сваку болест и сваку немоћ у народу."
Матеј,4,24,"И отиде глас о њему по свој Сирији; и приведоше му све болеснике, разним болестима и мукама обузете, и бјесомучне, и мјесечаре, и одузете, и исцијели их."
Матеј,4,25,"И за њим иђаше народа много из Галилеје, и из Декапоља, и из Јерусалима, и Јудеје и испреко Јордана."
Матеј,5,1,"А кад он видје народ многи, попе се на гору, и сједе, и приступише му ученици његови."
Матеј,5,2,И отворивши уста своја учаше их говорећи:
Матеј,5,3,"Блажени сиромашни духом, јер је њихово Царство небеско;"
Матеј,5,4,"Блажени који плачу, јер ће се утјешити;"
Матеј,5,5,"Блажени кротки, јер ће наслиједити земљу;"
Матеј,5,6,"Блажени гладни и жедни правде, јер ће се наситити;"
Матеј,5,7,"Блажени милостиви, јер ће бити помиловани;"
Матеј,5,8,"Блажени чисти срцем, јер ће Бога видјети;"
Матеј,5,9,"Блажени миротворци, јер ће се синови Божији назвати;"
Матеј,5,10,"Блажени прогнани правде ради, јер је њихово Царство небеско."
Матеј,5,11,"Блажени сте када вас срамоте и прогоне и лажући говоре против вас свакојаке рђаве ријечи, због мене."
Матеј,5,12,"Радујте се и веселите се, јер је велика плата ваша на небесима, јер су тако прогонили и пророке прије вас."
Матеј,5,13,"Ви сте со земљи: ако со обљутави, чиме ће се осолити? Она већ неће бити ни за шта осим да се проспе напоље и да је људи погазе."
Матеј,5,14,Ви сте свјетлост свијету; не може се град сакрити кад на гори стоји.
Матеј,5,15,"Нити се ужиже свјетиљка и меће под суд него на свијећњак, те свијетли свима који су у кући."
Матеј,5,16,"Тако да се свијетли свјетлост ваша пред људима, да виде ваша добра дјела и прославе Оца вашега који је на небесима."
Матеј,5,17,Не мислите да сам дошао да укинем Закон или Пророке: нисам дошао да укинем него да испуним.
Матеј,5,18,"Јер заиста вам кажем: Док не прође небо и земља, неће нестати ни најмањега словца или једне црте из Закона док се све не збуде."
Матеј,5,19,"Ако, дакле, ко укине једну од ових најмањих заповијести и научи тако људе, назваће се најмањи у Царству небескоме; а ко изврши и научи, тај ће се велики назвати у Царству небескоме."
Матеј,5,20,"Јер вам кажем да, ако не буде правда ваша већа него правда књижевника и фарисеја, нећете ући у Царство небеско."
Матеј,5,21,"Чули сте како је казано старима: Не убиј: јер ко убије, биће крив суду."
Матеј,5,22,"А ја вам кажем да ће сваки који се гњеви на брата свога ни за што, бити крив суду; а ако ли ко рече брату своме: ""Рака!"" биће крив синедриону; а ко рече: ""Будало!"" биће крив паклу огњеноме."
Матеј,5,23,"Ако, дакле, принесеш дар свој жртвенику, и ондје се сјетиш да брат твој има нешто против тебе,"
Матеј,5,24,"Остави ондје дар свој пред жртвеником, и иди те се најприје помири са братом својим, па онда дођи и принеси дар свој."
Матеј,5,25,"Мири се са супарником својим брзо, док си на путу с њим, да те супарник не преда судији, а судија да те не преда слуги и у тамницу да те не вргну."
Матеј,5,26,Заиста ти кажем: Нећеш изићи оданде док не даш до посљедњега новчића.
Матеј,5,27,Чули сте како је казано старима: Не чини прељубу.
Матеј,5,28,"А ја вам кажем да сваки који погледа на жену са жељом за њом, већ је учинио прељубу са њом у срцу своме."
Матеј,5,29,"А ако те око твоје десно саблажњава, ископај га и баци од себе; јер ти је боље да погине један од удова твојих неголи све тијело твоје да буде бачено у пакао."
Матеј,5,30,"Ако ли те десна рука твоја саблажњава, одсијеци је и баци од себе; јер ти је боље да погине један од удова твојих неголи да све тијело твоје буде бачено у пакао."
Матеј,5,31,"Тако је казано: Ко отпусти жену своју, нека јој да књигу отпусну."
Матеј,5,32,"А ја вам кажем да сваки који отпусти жену своју, осим због прељубе, наводи је да чини прељубу; и који се ожени отпуштеницом, прељубу чини."
Матеј,5,33,"Још сте чули како је казано старима: Не куни се криво, а испуни што си се Господу заклео."
Матеј,5,34,"А ја вам кажем: Не куните се никако: ни небом, јер је пријесто Божији;"
Матеј,5,35,"Ни земљом, јер је подножје ногама његовим; ни Јерусалимом, јер је град великога Цара."
Матеј,5,36,"Ни главом својом не куни се, јер не можеш ни длаку једну бијелом или црном учинити."
Матеј,5,37,"Дакле, нека буде ријеч ваша: да, да; не, не; а што је више од тога од злога је."
Матеј,5,38,"Чули сте да је казано: Око за око, и зуб за зуб."
Матеј,5,39,"А ја вам кажем да се не противите злу, него ако те ко удари по десном образу твом, окрени му и други;"
Матеј,5,40,"И који хоће да се суди с тобом и кошуљу твоју да узме, подај му и хаљину;"
Матеј,5,41,"И ако те ко потјера једну миљу, иди с њим двије."
Матеј,5,42,"Који иште у тебе, подај му; и који хоће од тебе да позајми, не одреци му."
Матеј,5,43,"Чули сте да је казано: Љуби ближњега својега, и мрзи непријатеља својега."
Матеј,5,44,"А ја вам кажем: Љубите непријатеље своје, благосиљајте оне који вас куну, чините добро онима који вас мрзе и молите се за оне који вас вријеђају и гоне,"
Матеј,5,45,Да будете синови Оца својега који је на небесима; јер Он својим сунцем обасјава и зле и добре; и даје дажд праведнима и неправеднима.
Матеј,5,46,"Јер ако љубите оне који вас љубе, какву плату имате? Не чине ли тако и цариници?"
Матеј,5,47,"И ако поздрављате само браћу своју, шта одвише чините? Не чине ли тако и незнабошци?"
Матеј,5,48,"Будите ви, дакле, савршени, као што је савршен Отац ваш небески."
Матеј,6,1,Пазите да милостињу своју не чините пред људима да вас они виде: иначе плате немате од Оца својега који је на небесима.
Матеј,6,2,"Када, дакле, дајеш милостињу, не труби пред собом, као што чине лицемјери по синагогама и по улицама да их људи хвале. Заиста вам кажем: Примили су плату своју."
Матеј,6,3,"А ти кад чиниш милостињу, да не зна љевица твоја шта чини десница твоја,"
Матеј,6,4,"Да би милостиња твоја била у тајности: и Отац твој који види тајно, узвратиће теби јавно."
Матеј,6,5,"И када се молиш Богу, не буди као лицемјери, који радо по синагогама и на раскршћу улица стоје и моле се да их виде људи. Заиста вам кажем: Примили су плату своју."
Матеј,6,6,"А ти када се молиш, уђи у клијет своју, и затворивши врата своја, помоли се Оцу своме који је у тајности: и Отац твој који види тајно, узвратиће теби јавно."
Матеј,6,7,"А када се молите, не празнословите као незнабошци, јер они мисле да ће за многе ријечи своје бити услишени."
Матеј,6,8,"Не будите, дакле, слични њима; јер зна Отац ваш шта вам треба прије но што заиштете од њега."
Матеј,6,9,"Овако, дакле, молите се ви: Оче наш који си на небесима, да се свети име твоје;"
Матеј,6,10,Да дође царство твоје; да буде воља твоја и на земљи као на небу;
Матеј,6,11,Хљеб наш насушни дај нам данас;
Матеј,6,12,И опрости нам дугове наше као што и ми опраштамо дужницима својим;
Матеј,6,13,"И не уведи нас у искушење, но избави нас од злога. Јер је твоје царство и сила и слава у вијекове. Амин."
Матеј,6,14,"Јер ако опростите људима сагрјешења њихова, опростиће и вама Отац ваш небески."
Матеј,6,15,"Ако ли не опростите људима сагрјешења њихова, ни Отац ваш неће опростити вама сагрјешења ваша."
Матеј,6,16,"А кад постите, не будите суморни као лицемјери: јер они натмуре лица своја да се покажу људима како посте. Заиста вам кажем: примили су плату своју."
Матеј,6,17,"А ти када постиш, намажи главу своју, и лице своје умиј,"
Матеј,6,18,"Да те не виде људи гдје постиш, него Отац твој који је у тајности; и Отац твој који види тајно, узвратиће теби јавно."
Матеј,6,19,"Не сабирајте себи блага на земљи, гдје мољац и рђа квари, и гдје лопови поткопавају и краду;"
Матеј,6,20,"Него сабирајте себи блага на небу, гдје ни мољац ни рђа не квари, и гдје лопови не поткопавају и не краду."
Матеј,6,21,"Јер гдје је благо ваше, ондје ће бити и срце ваше."
Матеј,6,22,"Свјетиљка тијелу је око. Ако, дакле, око твоје буде здраво, све ће тијело твоје свијетло бити."
Матеј,6,23,"Ако ли око твоје кварно буде, све ће тијело твоје тамно бити. Ако је, дакле, свјетлост која је у теби тама, колика је тек тама!"
Матеј,6,24,"Нико не може два господара служити; јер или ће једнога мрзити, а другога љубити; или ће се једнога држати, а другога презирати. Не можете служити Богу и мамону."
Матеј,6,25,"Зато вам кажем: Не брините се душом својом, шта ћете јести, или шта ћете пити; ни тијелом својим, у шта ћете се одјенути. Није ли душа претежнија од хране, и тијело од одијела?"
Матеј,6,26,"Погледајте на птице небеске како не сију, нити жању, ни сабирају у житнице; па Отац ваш небески храни их. Нисте ли ви много претежнији од њих?"
Матеј,6,27,А ко од вас бринући се може придодати расту своме лакат један?
Матеј,6,28,И за одијело што се бринете? Погледајте на кринове у пољу како расту; не труде се нити преду.
Матеј,6,29,Али ја вам кажем да се ни Соломон у свој слави својој не одјену као један од њих.
Матеј,6,30,"Па када траву у пољу, која данас јесте а сутра се у пећ баца, Бог тако одијева; а камоли вас, маловјерни?"
Матеј,6,31,"Не брините се, дакле, говорећи: Шта ћемо јести, или шта ћемо пити, или чиме ћемо се одјенути?"
Матеј,6,32,Јер све ово незнабошци ишту; а зна и Отац ваш небески да вама треба све ово.
Матеј,6,33,"Него иштите најприје Царство Божије и правду његову, и ово ће вам се све додати."
Матеј,6,34,"Не брините се, дакле, за сутра; јер сутра бринуће се за се. Доста је сваком дану зла свога."
Матеј,7,1,"Не судите, да вам се не суди;"
Матеј,7,2,"Јер каквим судом судите, онаквим ће вам се судити; и каквом мјером мјерите, онаквом ће вам се мјерити."
Матеј,7,3,"А зашто видиш трун у оку брата свога, а брвно у оку своме не осјећаш?"
Матеј,7,4,"Или, како ћеш рећи брату своме: стани да ти извадим трун из ока твога: а ето брвно у оку твоме?"
Матеј,7,5,"Лицемјере, извади најприје брвно из ока свога, па ћеш онда видјети извадити трун из ока брата свога."
Матеј,7,6,"Не дајте светиње псима; нити бацајте бисера својих пред свиње, да их не погазе ногама својим, и окренувши се не растргну вас."
Матеј,7,7,"Иштите, и даће вам се; тражите, и наћи ћете; куцајте, и отвориће вам се."
Матеј,7,8,"Јер сваки који иште, прима; и који тражи, налази; и који куца, отвориће му се."
Матеј,7,9,"Или који је међу вама човјек од кога ако син његов заиште хљеба, камен да му да?"
Матеј,7,10,"Или ако рибе заиште, да му да змију?"
Матеј,7,11,"Када, дакле, ви, зли будући, умијете даре добре давати дјеци својој, колико ће више Отац ваш небески дати добра онима који му ишту?"
Матеј,7,12,"Све, дакле, што хоћете да чине вама људи, тако чините и ви њима: јер то је Закон и Пророци."
Матеј,7,13,"Уђите на уска врата; јер су широка врата и широк пут што воде у пропаст, и много их има који њиме иду."
Матеј,7,14,"Јер су уска врата и тијесан пут што воде у живот, и мало их је који га налазе."
Матеј,7,15,"Чувајте се лажних пророка, који вам долазе у одијелу овчијем, а изнутра су вуци грабљиви."
Матеј,7,16,"По плодовима њиховим познаћете их. Еда ли се бере са трња грожђе, или са чичка смокве?"
Матеј,7,17,"Тако свако добро дрво плодове добре рађа, а зло дрво плодове зле рађа."
Матеј,7,18,"Не може дрво добро плодове зле рађати, ни дрво зло, плодове добре рађати."
Матеј,7,19,Свако дрво које не рађа добра плода сијече се и у огањ баца.
Матеј,7,20,"И тако, дакле, по плодовима њиховим познаћете их."
Матеј,7,21,"Неће сваки који ми говори: Господе, Господе, ући у Царство небеско; но који твори вољу Оца мојега који је на небесима."
Матеј,7,22,"Многи ће ми рећи у онај дан: Господе, Господе, нисмо ли у име твоје пророковали, и твојим именом демоне изгонили, и твојим именом чудеса многа творили?"
Матеј,7,23,И тада ћу им јавно казати: Никад вас нисам знао; идите од мене ви који чините безакоње.
Матеј,7,24,"Сваки, дакле, који слуша ове ријечи моје и извршује их, упоредићу га са човјеком мудрим који сазида кућу своју на камену;"
Матеј,7,25,"И удари дажд, и дођоше воде, и дунуше вјетрови, и навалише на кућу ону, и не паде; јер бјеше утемељена на камену."
Матеј,7,26,"А сваки који слуша ове ријечи моје и не извршује их, биће сличан човјеку лудом који сазида кућу своју на пијеску;"
Матеј,7,27,"И удари дажд, и дођоше воде, и дунуше вјетрови и ударише на кућу ону, и паде, а пад њезин бијаше страшан."
Матеј,7,28,"И када заврши Исус ријечи ове, дивљаше се народ науци његовој."
Матеј,7,29,"Јер их учаше као онај који власт има, а не као књижевници и фарисеји."
Матеј,8,1,"А кад сиђе са горе, за њим пође мноштво народа."
Матеј,8,2,"И гле, дође губавац и клањаше му се говорећи: Господе, ако хоћеш, можеш ме очистити."
Матеј,8,3,"И пруживши руку Исус, дохвати га се говорећи: Хоћу, очисти се. И одмах се очисти од губе своје."
Матеј,8,4,"И рече му Исус: Гледај, никоме не казуј, него иди и покажи се свештенику, и принеси дар који је заповједио Мојсеј ради свједочанства њима."
Матеј,8,5,"А кад уђе у Капернаум, приступи му капетан молећи га и говорећи:"
Матеј,8,6,"Господе, слуга мој лежи дома одузет, и страшно се мучи."
Матеј,8,7,А Исус му рече: Ја ћу доћи и исцијелићу га.
Матеј,8,8,"И капетан одговори и рече: Господе, нисам достојан да под кров мој уђеш, него само реци ријеч, и оздравиће слуга мој."
Матеј,8,9,"Јер и ја сам човјек под влашћу, и имам под собом војнике, па речем једноме: иди, и иде: и другоме: дођи, и дође; и слуги своме: учини то, и учини."
Матеј,8,10,"А кад чу Исус, задиви се и рече онима што иду за њим: Заиста вам кажем: ни у Израиљу толике вјере не нађох."
Матеј,8,11,"А кажем вам да ће многи од истока и запада доћи и сјешће за трпезу с Авраамом, и Исаком, и Јаковом у Царству небескоме;"
Матеј,8,12,А синови царства биће изгнани у таму најкрајњу; ондје ће бити плач и шкргут зуба.
Матеј,8,13,"А капетану рече Исус: Иди, и како си вјеровао нека ти буде. И оздрави слуга његов у тај час."
Матеј,8,14,"И дошавши Исус у дом Петров, видје ташту његову гдје лежи и грозница је тресе."
Матеј,8,15,"И дотаче се руке њене, и пусти је ватра, и устаде и служаше му."
Матеј,8,16,"А када би вече, доведоше к њему бјесомучних много, и изагна духове ријечју, и све болеснике исцијели,"
Матеј,8,17,Да се испуни што је казао Исаија пророк говорећи: Он немоћи наше узе и болести понесе.
Матеј,8,18,"А када видје Исус много народа око себе, заповједи да пређу на ону страну."
Матеј,8,19,"И приступивши један књижевник рече му: Учитељу, ићи ћу за тобом куд год пођеш."
Матеј,8,20,"Рече му Исус: Лисице имају јаме и птице небеске гнијезда, а Син Човјечији нема гдје главу заклонити."
Матеј,8,21,"А други од ученика његових рече му: Господе, допусти ми најприје да одем и укопам оца својега."
Матеј,8,22,"А Исус му рече: Хајде за мном, а остави нека мртви укопавају своје мртве."
Матеј,8,23,"И кад уђе у лађу, за њим уђоше ученици његови."
Матеј,8,24,"И гле, бура велика настаде на мору, тако да се лађа покри валовима; а он спаваше."
Матеј,8,25,"И пришавши ученици његови, пробудише га говорећи: Господе, спаси нас, изгибосмо!"
Матеј,8,26,"И рече им: Зашто сте страшљиви, маловјерни? Тада уставши запријети вјетровима и мору, и настаде тишина велика."
Матеј,8,27,А људи се зачудише говорећи: Ко је овај да га слушају и вјетрови и море?
Матеј,8,28,"А кад он дође на ону страну у земљу гергесинску, сретоше га два бјесомучника, излазећи из гробова, тако опака да не могаше нико проћи путем оним."
Матеј,8,29,"И гле, повикаше говорећи: Шта хоћеш од нас, Исусе, Сине Божији? Зар си дошао амо прије времена да нас мучиш?"
Матеј,8,30,А далеко од њих пасијаше велико крдо свиња.
Матеј,8,31,"И демони га мољаху говорећи: Ако нас изгониш, дозволи нам да идемо у крдо свиња."
Матеј,8,32,"И рече им: Идите. И они изишавши отидоше у крдо свиња. И гле, навали све крдо свиња са бријега у море, и утопише се у води."
Матеј,8,33,"А свињари побјегоше; и дошавши у град казаше све, и за бјесомучнике."
Матеј,8,34,"И гле, сав град изиђе у сусрет Исусу; и видјевши га, молише да оде из њиховог краја."
Матеј,9,1,"И ушавши у лађу, пређе и дође у свој град."
Матеј,9,2,"И гле, донесоше му одузетога који лежаше на одру. И видјевши Исус вјеру њихову, рече одузетоме: Не бој се, чедо, опраштају ти се гријеси твоји."
Матеј,9,3,"И гле, неки од књижевника рекоше у себи: Овај хули на Бога."
Матеј,9,4,"А Исус, видјевши помисли њихове, рече: Зашто ви зло мислите у срцима својим?"
Матеј,9,5,"Јер шта је лакше, рећи: Опраштају ти се гријеси; или рећи: Устани и ходи?"
Матеј,9,6,"Али да знате да власт има Син Човјечији на земљи опраштати гријехе; тада рече одузетоме: Устани, узми одар свој и иди дому своме."
Матеј,9,7,И уставши отиде дому своме.
Матеј,9,8,"А народ видјевши задиви се и прослави Бога, који је дао такву власт људима."
Матеј,9,9,"И одлазећи Исус оданде видје човјека гдје сједи на царини, по имену Матеја, и рече му: Хајде за мном. И уставши отиде за њим."
Матеј,9,10,"И кад јеђаше у кући, гле, многи цариници и грјешници дођоше и јеђаху са Исусом и са ученицима његовим."
Матеј,9,11,"И видјевши то, фарисеји рекоше ученицима његовим: Зашто са цариницима и грјешницима учитељ ваш једе и пије?"
Матеј,9,12,А Исус чувши рече им: Не требају здрави љекара него болесни.
